[2026-03-22 00:40:36,232][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-22 00:40:36,233][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-22 00:40:43,230][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-22 00:40:43,342][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-22 00:41:39,239][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: --------------------------------------------------
[2026-03-22 00:41:39,627][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: --------------------------------------------------
[2026-03-22 00:41:40,014][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: --------------------------------------------------
[2026-03-22 00:41:40,403][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: --------------------------------------------------
[2026-03-22 00:41:40,792][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: --------------------------------------------------
[2026-03-22 00:41:41,185][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: --------------------------------------------------
[2026-03-22 00:41:41,572][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: --------------------------------------------------
[2026-03-22 00:41:41,956][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: --------------------------------------------------
[2026-03-22 00:41:42,341][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: --------------------------------------------------
[2026-03-22 00:41:42,728][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: --------------------------------------------------
[2026-03-22 00:41:43,537][__main__][INFO] - Finished design in 0.33 minutes
[2026-03-22 00:41:43,538][__main__][INFO] - Making design outputs/users/anonymous/5f119f7e/3c19f4f174a7/v1/design_3
[2026-03-22 00:41:43,543][rfdiffusion.inference.model_runners][INFO] - Using contig: ['45-55']
[2026-03-22 00:41:43,554][rfdiffusion.inference.model_runners][INFO] - Sequence init: ------------------------------------------------------
[2026-03-22 00:41:43,951][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ------------------------------------------------------
[2026-03-22 00:41:44,338][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ------------------------------------------------------
[2026-03-22 00:41:44,725][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ------------------------------------------------------
[2026-03-22 00:41:45,116][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ------------------------------------------------------
[2026-03-22 00:41:45,517][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ------------------------------------------------------
[2026-03-22 00:41:45,906][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ------------------------------------------------------
[2026-03-22 00:41:46,296][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ------------------------------------------------------
[2026-03-22 00:41:46,704][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ------------------------------------------------------
